,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
199,39,2018,25,74.31,0,23,7,10,.700,3,4,.750,1,1,1.000,0,2,2,2,1,0,0,0,18,16.8,+18
200,40,2018,25,82.02,0,14,2,5,.400,0,3,.000,0,0,,0,1,1,1,0,0,3,4,4,-2.3,-11
201,41,2018,25,8.95,0,14,2,8,.250,0,3,.000,1,2,.500,1,2,3,2,1,0,1,0,5,2.5,+11
202,42,2018,25,60.79,0,30,9,18,.500,1,4,.250,0,0,,0,3,3,4,0,0,2,0,19,11.7,+2
203,43,2018,25,81.46,0,16,2,13,.154,0,2,.000,5,6,.833,1,1,2,4,0,0,2,1,9,1.7,-10
204,44,2018,25,38.67,0,21,2,7,.286,1,2,.500,0,0,,1,4,5,3,1,0,2,0,5,3.9,-6
205,45,2018,25,47.38,0,33,14,19,.737,3,6,.500,2,3,.667,0,7,7,7,0,0,4,0,33,27.9,+25
206,46,2018,25,75.99,0,37,12,19,.632,1,5,.200,4,5,.800,3,3,6,10,3,0,1,2,29,31.3,+23
207,47,2018,25,1.02,0,34,8,17,.471,0,4,.000,6,7,.857,3,2,5,4,2,0,2,1,22,18.0,-1
208,48,2018,25,78.78,0,30,6,15,.400,1,5,.200,6,6,1.000,0,2,2,4,0,0,0,1,19,13.9,+4
209,49,2018,25,22.36,0,21,6,13,.462,0,4,.000,5,5,1.000,0,2,2,2,0,0,3,4,17,7.7,-12
210,50,2018,25,70.29,0,24,7,14,.500,2,5,.400,4,4,1.000,1,4,5,3,1,1,3,0,20,15.7,-9
211,51,2018,25,77.66,0,26,3,14,.214,3,6,.500,2,2,1.000,1,3,4,2,0,1,2,2,11,3.3,+5
